"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C30","10p","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","1",""
"C50","47n","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","1",""
"FB1","100R","~","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","1",""
"J20","SIGNAL_IN","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J40","MUX_IN_HIGH","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J41","MUX_IN_LOW","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J42","MUX_OUT_HIGH","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J43","MUX_OUT_LOW","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J44","MUX_ENABLE","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J45","NODE_PINS","~","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1",""
"J50","SIGNAL_OUT","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J60","PWR_IN","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"R20,R51","1k","~","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","2",""
"R31,R32,R33,R34","100k","~","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","4",""
"R50,RV20,RV50","10k","~","-- mixed values --","3",""
"RV30","5k","~","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1",""
"TP20","AMPED_SIGNAL_TEST","~","TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded","1",""
"TP21","SIGNAL_IN_TEST","~","TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded","1",""
"TP22","INPUT_TRIM_TEST","~","TestPoint:TestPoint_Pad_1.0x1.0mm","1",""
"TP30","NODE_IN_HIGH_TEST","~","TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded","1",""
"TP31","CURRENT_TRIM_TEST","~","TestPoint:TestPoint_Pad_1.0x1.0mm","1",""
"TP50","NODE_OUT_HIGH_TEST","~","TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded","1",""
"TP51","SIGNAL_OUT_TEST","~","TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded","1",""
"TP52","OUTPUT_TRIM_TEST","~","TestPoint:TestPoint_Pad_1.0x1.0mm","1",""
"TP60","VCCA_TEST","~","TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded","1",""
"TP61","GND_TEST","~","TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded","1",""
"U1,U2,U3,U8","LMV321","http://www.ti.com/lit/ds/symlink/lmv324.pdf","Package_TO_SOT_SMD:SOT-23-5","4",""
"U4,U5,U6,U7","74HC4051","http://www.ti.com/lit/ds/symlink/cd74hc4051.pdf","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","4",""
